Timestamp,Social Media Used,Join date,Satisfaction with site quality (1-10),,Specific complaints?
4/4/2024 13:40:31,Instagram,2015-2020,5,,Images with audio will auto scroll after the audio is finished even if I am reading comments and the same is done with reels and they took away the video format that was once used in favor of reels even if the video is 3 seconds and some comments or captions with a different language will not have the option to translate it because they used a few English words and sometimes DMs do not show up up as a notification and they added this notification feature that will just ask you to download threads or to check out some reels and it's annoying
4/4/2024 13:40:32,Ticktock and Insta,2015-2020,8,,No
4/4/2024 13:40:42,tiktok ,2010-2014,5,,no
4/4/2024 15:23:31,RAHHH natalie.sm__ and taling.marie on instagram ???,2021-2024,10,,why dont u text me imy cousin 😞
4/4/2024 18:10:58,Facebook,2005-2009,7,,Too much politics
4/4/2024 18:47:00,Facebook ,2005-2009,8,,Nada
4/4/2024 18:48:30,Instagram,2010-2014,6,,Algorithm messed up
4/4/2024 18:54:10,Facebook and instagram,2010-2014,1,,No guarantee of privacy. A waste of time.
4/4/2024 19:03:36,insta,2021-2024,7,,it’s bad for my mental health / doom scroll
4/4/2024 19:38:25,"Facebook, Instagram",2005-2009,7,,Too many ads
4/4/2024 19:39:31,Facebook,2005-2009,10,,None
4/4/2024 19:55:58,FaceBook,2005-2009,8,,Too many Ads
4/4/2024 20:04:58,"Facebook, instragram ",2000-2004,6,,Tracks my info
4/4/2024 20:16:12,Facebook,2021-2024,1,,What am I taking a survey on?
4/4/2024 21:03:22,Facebook ,2010-2014,7,,I don’t like ads
4/4/2024 21:45:46,"Instagram, Facebook , YouTube ",2000-2004,8,,None
4/4/2024 21:47:03,Facebook and instagram,2005-2009,9,,To many filters or things and updates hidden 
4/4/2024 22:15:32,Snapchat,2015-2020,7,,Social media sucks but I like ir
4/5/2024 1:19:28,Meta,2005-2009,7,,Some content people posts
4/5/2024 2:50:43,FB Snap Instagram ,2000-2004,7,,Too many ads 
4/5/2024 6:50:11,"Facebook, IG",2000-2004,8,,"Too many ads, especially weird from my searches for shopping etc. Worried about monopoly of social media."
4/5/2024 12:09:51,Facebook Snapchat instagram ,2010-2014,10,,Ads
4/5/2024 12:12:55,"instagram, youtube, discord, twitch ",2015-2020,3,,youtube reels instagram reels are trying to copy tiktok and promote doom scrolling 
4/5/2024 12:29:04,Facebook,2005-2009,8,,Too many ads
4/5/2024 12:35:37,"Facebook, Instagram",2005-2009,8,,"The negative impacts social media has brought on for example: being anti-social, cyber-bullying, stalking, wasting time scrolling.."
4/5/2024 16:31:35,Myspace ,2000-2004,9,,Rankings of friends
4/5/2024 18:38:56,"Facebook, Instagram and SnapChat ",2005-2009,5,,None 
4/5/2024 18:41:54,Facebook,2000-2004,4,,Too many ads and threads
4/6/2024 8:04:28,Instagram,2010-2014,8,,"Ads, spam follow requests, addicting "
4/6/2024 9:22:31,Meta,2005-2009,7,,"Fake accounts, tendency for group think, false sense of reality "
4/6/2024 14:08:25,"Facebook, Instagram, TikTok, and YouTube",2000-2004,7,,Negative and conspiracy content
4/7/2024 17:37:15,TikTok? 4chan what,2015-2020,9,,i love men
4/8/2024 10:25:27,instagram ,2015-2020,4,,algorithm 
4/8/2024 10:30:36,discord ,2015-2020,8,,should be monitored better 
4/8/2024 10:38:16,4chan ,2021-2024,3,,boring... needs better format
4/8/2024 10:39:26,tiktok,2015-2020,9,,algorithm 
4/8/2024 10:40:35,discord ,2015-2020,2,,addictive but in a useless kinda way 
4/8/2024 11:05:11,Discord ,2010-2014,6,,doesn't do much more than it has to 
4/8/2024 11:06:06,tiktok,2021-2024,6,,beauty standards 
4/8/2024 11:06:49,tiktok,2021-2024,10,,make messaging easier and funner!!!!!!!
4/8/2024 11:08:59,tiktok ,2021-2024,4,,tiktokshop 
4/8/2024 11:10:20,Twitter (Now X),2010-2014,5,,Stupid management.
4/8/2024 11:13:15,snapchat ,2021-2024,2,,instagram but boring 
4/8/2024 11:14:32,tiktok,2021-2024,4,,not enough reach 
4/8/2024 11:17:20,instagram ,2021-2024,10,,NOTHING!!! ILY INSTAGRAM 🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼
4/8/2024 11:18:13,instagram ,2021-2024,6,,feed sucks 
4/8/2024 11:21:38,LETTERBOXD! ,2021-2024,10,,not enough stuff for free users : / 👎
4/8/2024 11:22:09,letterboxd ,2021-2024,9,,graphics could be better. fun and simple app though 
4/8/2024 11:22:43,letterboxd ,2021-2024,3,,"community (forums) could be better, design "
4/8/2024 11:26:43,instagraaammm ,2015-2020,7,,the updates. 
4/8/2024 11:31:20,instagram ,2015-2020,6,,outreach is weird
4/8/2024 11:31:42,tiktok,2015-2020,4,,lacks diversity 
4/8/2024 11:34:36,TWITTERRRRR TWEET TWEET ,2015-2020,2,,EDTWT???? WTF
4/8/2024 11:35:11,twitter ,2021-2024,8,,ily twitter 
4/8/2024 11:35:28,twitter ,2015-2020,8,,hard to find posts 
4/8/2024 11:39:16,discord ,2015-2020,7,,confusing to program?? yeah... 
4/8/2024 11:40:30,instagram ,2015-2020,10,,want more features : ) 
4/8/2024 11:41:34,X / twitter ,2015-2020,6,,REALLY RLLY RLLYT RLLY hard to find people and make friends UGHHHH 
4/8/2024 11:42:41,TWITTER :33,2021-2024,4,,UHM NOTHING IDK ITS OKKKK 
4/8/2024 11:43:07,Discord.,2015-2020,7,,The new design is awful.
4/8/2024 11:43:30,x / twt ,2015-2020,7,,algorithm 
